('4098611', 349.81490462174753)
('45767042', 349.7954802916219)
('36714116', 349.74263421039706)
('261883', 349.53523557742193)
('2514534', 349.1354174560639)
('46270162', 347.62257156147143)
('46270163', 347.62257156147143)
('44507566', 346.2073825695568)
('436398', 345.91691698092853)
('4009303', 345.4251428829747)
('201530', 343.82723035802724)
('4224254', 343.82723035802724)
('4228443', 343.82723035802724)
('37018348', 342.86258862660986)
('37018353', 342.86258862660986)
('45769207', 342.73738833547293)
('4133017', 342.67848189394556)
('4132082', 342.67848189394556)
('19027885', 342.6364013385794)
('36212863', 342.6364013385794)
('435983', 342.5626471849242)
('40486629', 342.08018871782167)
('438567', 341.9025035427594)
('4140466', 341.8301247115144)
('916462', 341.7975814649698)
('19096275', 341.7975814649698)
('19077950', 341.7975814649698)
('43531616', 341.0032458967723)
('438391', 339.15519606898243)
('375475', 338.8227993585357)
('40238886', 338.3461483317507)
('42707880', 338.3461483317507)
('40479575', 338.2780922002964)
('4143351', 337.99333768671465)
('440977', 337.99333768671465)
('46270367', 337.84062213559196)
('441026', 337.43978369770457)
('4093002', 337.4338648967449)
('4060296', 337.38378456418326)
('4063038', 337.38378456418326)
('439673', 337.12078756933465)
('439675', 337.12078756933465)
('3007164', 336.69229889335566)
('4196147', 335.9203937092282)
('3017569', 335.9203937092282)
('3020716', 335.9203937092282)
('45890622', 335.9203937092282)
('42873170', 335.9203937092282)
('2617467', 335.9203937092282)
('19076131', 335.01818306337833)
('948694', 335.01818306337833)
('22340', 334.87068960487926)
('4109883', 334.87068960487926)
('4112183', 334.87068960487926)
('4110948', 334.5883345237249)
('440066', 334.2455005078819)
('4141481', 334.1447327820145)
('437504', 333.80637516741774)
('4307774', 333.0979825861866)
('46270491', 333.0979825861866)
('46273463', 333.0979825861866)
('4314247', 332.5942894119543)
('321314', 332.2084326689687)
('443211', 331.71623502335035)
('45763584', 331.340184712236)
('4227210', 331.340184712236)
('43530685', 331.340184712236)
('437390', 331.047570474646)
('4058841', 330.8389714338993)
('43531768', 330.6001328705317)
('43530744', 330.5104259976818)
('4037495', 329.84762788760935)
('37205080', 329.17511231133676)
('19131007', 327.5934077010522)
('81931', 326.88514292089025)
('4081250', 326.8380323215402)
('40491960', 325.85151897551344)
('45757767', 325.7593800593488)
('201905', 325.5695031263887)
('432545', 325.5689406371874)
('4280828', 325.5689406371874)
('36714927', 325.5689406371874)
('435459', 325.5689406371874)
('141498', 325.5689406371874)
('433823', 325.5689406371874)
('436621', 325.5689406371874)
('440328', 325.5689406371874)
('440647', 325.5689406371874)
('435604', 325.42779395160534)
('440029', 325.42779395160534)
('193174', 324.3967922589561)
('43530656', 324.1784455318183)
('438021', 323.55789441747004)
('4056579', 323.55789441747004)
('40480160', 322.12870355390584)
('45757320', 322.12870355390584)
('45767037', 322.12870355390584)
('4228112', 322.0196309041887)
('42800473', 321.6987485884459)
('46269886', 321.4586661137757)
('46269876', 321.4586661137757)
('46269881', 321.4586661137757)
('46269890', 321.4586661137757)
('46273631', 321.32123632807514)
('40481354', 318.91764797976606)
('377822', 316.5619808774392)
('313223', 316.3183914904392)
('4034227', 315.1885854877875)
('905365', 315.1578605233045)
('45766970', 314.8918260239136)
('443541', 314.8294413979802)
('36716848', 314.8294413979802)
('194679', 314.8294413979802)
('37016358', 314.7257501558426)
('194856', 314.69255751001816)
('198683', 314.69255751001816)
('196625', 314.69255751001816)
('200031', 314.69255751001816)
('312337', 314.34019374863306)
('4220631', 313.69735264371513)
('19130403', 312.6603296045644)
('1728942', 312.6603296045644)
('441541', 312.57180187067274)
('40493415', 312.3084506768518)
('2617205', 312.100420867414)
('2617376', 311.6029513399279)
('915611', 311.6029513399279)
('437727', 311.51214624011106)
('4340948', 310.9635914188998)
('4338023', 310.47976916296506)
('134144', 310.3357532175828)
('140506', 310.3357532175828)
('37018952', 309.787427619735)
('4099651', 309.749793299162)
('40227428', 309.7044683177196)
('78073', 308.59180241940385)
('434872', 308.59180241940385)
('4200532', 308.59180241940385)
('43021985', 308.59180241940385)
('43530910', 308.59180241940385)
('437920', 308.59180241940385)
