('255848', 249.28570011223584)
('256723', 249.28570011223584)
('257315', 249.28570011223584)
('258785', 249.28570011223584)
('260430', 249.28570011223584)
('260754', 249.28570011223584)
('261324', 249.28570011223584)
('4310964', 249.28570011223584)
('36676238', 249.28570011223584)
('40482061', 249.28570011223584)
('435604', 249.2780993355806)
('440029', 249.2780993355806)
('200687', 248.16616069672864)
('443731', 248.16616069672864)
('4222896', 247.94962206286093)
('4289830', 247.94962206286093)
('441026', 247.7728062508643)
('37016108', 247.4739131780899)
('46269751', 247.4739131780899)
('46269753', 247.4739131780899)
('37016107', 247.4739131780899)
('46269756', 247.4739131780899)
('46273461', 247.4739131780899)
('4144111', 247.03266670041853)
('4177197', 246.8275407646577)
('4006994', 246.31835163737077)
('4163865', 246.31835163737077)
('4227210', 246.0260351187655)
('45763584', 246.0260351187655)
('43530685', 246.0260351187655)
('1387632', 244.3788282050403)
('375475', 243.81439346976083)
('4147491', 243.61644590147188)
('441768', 242.22447829960032)
('4180771', 242.22447829960032)
('437663', 242.06019928900764)
('440637', 242.06019928900764)
('43530637', 242.06019928900764)
('43530646', 242.06019928900764)
('4169592', 241.88014058921067)
('4195231', 241.88014058921067)
('4294973', 241.88014058921067)
('4296611', 241.88014058921067)
('36716700', 241.53401104077088)
('4037495', 241.4268504350797)
('194856', 241.08431416334167)
('198683', 241.08431416334167)
('196625', 241.08431416334167)
('200031', 241.08431416334167)
('4343935', 240.95093081368395)
('19023422', 240.60815110553503)
('40487616', 240.54859789121565)
('4110948', 240.43482834586564)
('376973', 240.04071805525996)
('19133204', 240.03900015384312)
('441258', 239.96134126986098)
('436398', 239.7091356707072)
('194679', 239.1984094590529)
('36716848', 239.1984094590529)
('443541', 239.1984094590529)
('312337', 237.64184135736258)
('42873170', 237.3521025543329)
('45890622', 237.3521025543329)
('4196147', 237.3521025543329)
('3017569', 237.3521025543329)
('3020716', 237.3521025543329)
('2617467', 237.3521025543329)
('40491960', 237.21245199672853)
('438648', 236.87097610398695)
('443730', 236.49505574229)
('4191650', 236.34536516916472)
('4325344', 235.79658285141392)
('321314', 235.55257494916248)
('436678', 235.13654429015313)
('4312059', 235.12162142792377)
('4140466', 234.87161667071135)
('45768450', 234.102621635055)
('196895', 233.69987991816026)
('442793', 233.4189089197603)
('2617207', 233.34844523709486)
('2617208', 233.34844523709486)
('2617223', 233.34844523709486)
('37395590', 232.85628436242465)
('438567', 232.35047556085178)
('4327889', 231.70021041054997)
('260125', 231.55008381286348)
('254058', 231.55008381286348)
('4204555', 230.91586145435056)
('37312529', 230.79266652545888)
('4063581', 230.60581394005135)
('4340948', 230.5531807031574)
('438021', 230.5397642418024)
('4056579', 230.5397642418024)
('36714116', 229.03877262636865)
('381783', 228.89610707582813)
('193355', 228.7907613917494)
('4110192', 228.596882416639)
('45767658', 228.596882416639)
('193693', 228.38914237083222)
('196029', 228.38914237083222)
('4101286', 228.31492976289022)
('45767042', 226.19197222438805)
('40480160', 226.19197222438805)
('45757320', 226.19197222438805)
('45767037', 226.19197222438805)
('37205080', 226.02370586716847)
('43530687', 225.95996125366028)
('443455', 225.93699180499044)
('4099651', 225.61766677015265)
('433486', 225.5041564749027)
('433773', 225.5041564749027)
('199856', 225.5041564749027)
('4101104', 225.09324456844055)
('4177387', 225.09324456844055)
('4340964', 224.68660903170476)
('376026', 224.60291348675776)
('380632', 224.60291348675776)
('42899470', 224.60291348675776)
('4201174', 223.95381872428553)
('45757468', 223.67576720373393)
('437504', 223.39797680491495)
('4148486', 222.84754917199652)
('4317960', 222.84754917199652)
('312940', 222.84754917199652)
('4256228', 222.84754917199652)
('40493415', 222.75793597430086)
('374021', 222.68218898492782)
('443802', 222.68218898492782)
('4228112', 222.6242736579561)
('4141481', 222.60287162673654)
('46273631', 221.99724311513665)
('261883', 221.55810384608137)
